"","HSPP_DW_2155.97","HSPP_DW_2149.95","HSPP_DW_2159.91","HSPP_JY_894.2","HSPP_DW_2158.90","HSPP_DW_2161.93","HSPP_DW_2150.94","HSPP_DW_2157.96","HSPP_DW_2160.92","HSPP_JY_892.1","HSPP_DW_2156.98","Saliva_COVID-19_086","Saliva_COVID-19_078","Saliva_COVID-19_080","Saliva_COVID-19_083","Saliva_COVID-19_085","Saliva_COVID-19_082","Saliva_COVID-19_081","Saliva_COVID-19_087","Saliva_COVID-19_084","Saliva_COVID-19_079"
"Label","A","A","A","A","A","A","A","A","A","A","A","B","B","B","B","B","B","B","B","B","B"
"Q9NP29","-3.816349","-3.816349","-3.816349","-3.097040","-3.816349","-3.816349","-3.816349","-3.816349","-3.816349","-3.117379","-3.816349","-3.816349","-3.816349","-3.816349","-3.816349","-3.816349","-3.816349","-3.816349","-3.816349","-3.816349","-3.816349"
"Q9NP55","-4.722895","-4.722895","-4.722895","-3.993406","-4.722895","-4.722895","-4.722895","-4.722895","-4.722895","-3.779657","-4.722895","-3.883758","-4.023925","-3.287763","-4.722895","-3.388850","-4.722895","-3.468904","-3.390075","-3.179496","-2.481440"
"Q9NPF5","-4.915781","-4.915781","-4.915781","-4.915781","-4.915781","-4.915781","-4.915781","-4.915781","-4.915781","-4.216811","-4.915781","-4.915781","-4.915781","-4.915781","-4.915781","-4.915781","-4.915781","-4.915781","-4.915781","-4.915781","-4.915781"
"Q9NPP6","-2.256754","-1.944534","-2.368126","-2.264733","-3.076237","-2.235528","-2.047103","-2.377267","-3.076237","-2.300307","-3.076237","-3.076237","-3.076237","-3.076237","-3.076237","-3.076237","-3.076237","-3.076237","-3.076237","-3.076237","-3.076237"
"Q9NQ38","-5.649351","-5.649351","-5.649351","-5.649351","-5.649351","-5.649351","-5.649351","-5.649351","-5.649351","-5.649351","-5.649351","-4.377579","-4.466482","-4.605373","-4.950394","-4.609595","-4.252355","-4.154530","-4.133713","-4.166152","-4.100125"
"Q9NR09","-6.336927","-6.336927","-6.336927","-6.336927","-6.336927","-6.336927","-6.336927","-6.336927","-6.336927","-6.336927","-6.336927","-5.638260","-6.336927","-6.336927","-6.336927","-6.336927","-6.336927","-6.336927","-6.336927","-6.336927","-6.336927"
"Q9NR16","-5.785661","-5.785661","-5.785661","-5.785661","-5.785661","-5.785661","-5.785661","-5.785661","-5.785661","-5.785661","-5.785661","-5.785661","-5.785661","-5.785661","-5.785661","-5.785661","-5.086715","-5.785661","-5.785661","-5.785661","-5.785661"
"Q9NR30","-5.140260","-5.140260","-5.140260","-5.140260","-5.140260","-5.140260","-5.140260","-5.140260","-5.140260","-4.441291","-5.140260","-5.140260","-5.140260","-5.140260","-5.140260","-5.140260","-5.140260","-5.140260","-5.140260","-5.140260","-5.140260"
"Q9NRA1","-5.153538","-5.153538","-5.153538","-5.153538","-5.153538","-5.153538","-5.153538","-5.153538","-5.153538","-5.153538","-5.153538","-5.153538","-4.454569","-5.153538","-5.153538","-5.153538","-5.153538","-5.153538","-5.153538","-5.153538","-5.153538"
"Q9NSB2","-4.547508","-4.547508","-2.624093","-4.547508","-4.547508","-4.547508","-4.547508","-4.547508","-4.547508","-3.848538","-4.547508","-4.547508","-4.547508","-4.547508","-4.547508","-4.547508","-4.547508","-4.547508","-4.547508","-4.547508","-4.547508"
"Q9NSC7","-4.848507","-4.848507","-4.848507","-4.848507","-4.848507","-4.848507","-4.848507","-4.848507","-4.848507","-4.149538","-4.848507","-4.848507","-4.848507","-4.848507","-4.848507","-4.848507","-4.848507","-4.848507","-4.848507","-4.848507","-4.848507"
"Q9NTM9","-4.582362","-4.582362","-4.582362","-4.582362","-4.582362","-4.582362","-4.582362","-4.582362","-4.582362","-4.582362","-4.582362","-4.582362","-4.582362","-4.582362","-4.582362","-4.582362","-3.883392","-4.582362","-4.582362","-4.582362","-4.582362"
"Q9NVV5","-4.992252","-4.992252","-4.992252","-4.992252","-4.992252","-4.992252","-4.992252","-4.992252","-4.992252","-4.992252","-4.992252","-4.992252","-4.293282","-4.992252","-4.992252","-4.992252","-4.992252","-4.992252","-4.992252","-4.992252","-4.992252"
"Q9NYL9","-5.162915","-5.162915","-5.162915","-5.162915","-5.162915","-5.162915","-5.162915","-5.162915","-5.162915","-5.162915","-5.162915","-5.162915","-3.986110","-5.162915","-3.867804","-5.162915","-4.169861","-5.162915","-4.130416","-4.463947","-4.163803"
"Q9NYY8","-5.132885","-5.132885","-5.132885","-5.132885","-5.132885","-5.132885","-5.132885","-5.132885","-5.132885","-5.132885","-5.132885","-5.132885","-5.132885","-5.132885","-5.132885","-4.433916","-5.132885","-5.132885","-5.132885","-5.132885","-4.292430"
"Q9NZH8","-4.845150","-4.845150","-4.845150","-4.845150","-4.845150","-4.845150","-4.845150","-4.845150","-4.845150","-3.775389","-4.845150","-4.845150","-4.845150","-4.107405","-4.845150","-4.845150","-3.198000","-4.845150","-4.112833","-4.845150","-4.146180"
"Q9NZM1","-5.560658","-5.560658","-5.560658","-5.560658","-5.560658","-5.560658","-5.560658","-5.560658","-5.560658","-4.861697","-5.560658","-5.560658","-5.560658","-5.560658","-5.560658","-5.560658","-5.560658","-5.560658","-5.560658","-5.560658","-5.560658"
"Q9NZM3","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.813580","-5.114638","-5.813580","-5.813580"
"Q9NZP8","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-5.304866","-4.605899"
