"Gene","FC","log2(FC)","raw.pval","-log10(p)"
"Q562R1",0.22988,-2.121,0.001221,2.9133
"IPI00456619",7.7433,2.9529,0.0012211,2.9132
"IPI00415056",6.7798,2.7612,0.0012384,2.9071
"IPI00418512",7.0118,2.8098,0.0012517,2.9025
"A0A0B4J1Y9",0.16557,-2.5945,0.001268,2.8969
"IPI00014260",7.2948,2.8669,0.0012701,2.8962
"Q6DHW4",8.0763,3.0137,0.001329,2.8765
"P46940",0.18981,-2.3974,0.0013398,2.873
"IPI00550293",9.8045,3.2934,0.001357,2.8674
"P00739",0.19107,-2.3878,0.001365,2.8649
"P12955",0.20908,-2.2579,0.0013799,2.8602
"IPI00412044",8.26,3.0461,0.0013887,2.8574
"P0DOX5",0.16034,-2.6408,0.0014355,2.843
"P40926",0.11753,-3.0888,0.0014496,2.8388
"P01036",0.34752,-1.5248,0.0014517,2.8381
"Q6IS14",0.22123,-2.1764,0.001452,2.838
"Q9NYL9",0.1345,-2.8944,0.0014567,2.8366
"P01037",0.30228,-1.726,0.0014693,2.8329
"P07384",0.2014,-2.3119,0.0015393,2.8127
"P30044",0.22834,-2.1307,0.0016078,2.7938
"Q08380",0.46713,-1.0981,0.0016107,2.793
"P02749",0.33052,-1.5972,0.0016661,2.7783
"P62328",0.15744,-2.6671,0.0016873,2.7728
"P02766",0.18922,-2.4019,0.0017114,2.7666
"P04004",0.1444,-2.7918,0.0017134,2.7661
"Q8NFT8",0.18276,-2.452,0.0017637,2.7536
"O95336",0.36094,-1.4702,0.0017651,2.7532
"IPI00550305",6.0966,2.608,0.0017963,2.7456
"Q6XQN6",0.16777,-2.5754,0.0018077,2.7429
"P33908",0.08996,-3.4746,0.001811,2.7421
"P80723",0.069477,-3.8473,0.0018627,2.7299
"Q6UWP8",0.36767,-1.4435,0.0018867,2.7243
"A0A0J9YXX1",0.15628,-2.6778,0.0019675,2.7061
"P31150",0.070586,-3.8245,0.0019961,2.6998
"Q14019",0.1161,-3.1066,0.0020238,2.6938
"P36952",0.33707,-1.5689,0.0021928,2.659
"Q9Y490",0.092762,-3.4303,0.0022614,2.6456
